neighborhood,ndvi_25pctl,ndvi_mean
Cluster 26,-0.3781512677669525,-0.044773928821086884
Cluster 9,-0.5444444417953491,-0.2716589570045471
Cluster 34,-0.15850144624710083,0.21748025715351105
Cluster 27,-0.3781512677669525,-0.044773928821086884
Cluster 37,-0.41228070855140686,-0.04152369126677513
Cluster 28,-0.1386861354112625,0.2460143119096756
Cluster 44,-0.2522522509098053,0.08263973891735077
Cluster 16,-0.07848101109266281,0.2924128770828247
Cluster 41,-0.34193548560142517,-0.019620496779680252
Cluster 10,-0.06779661029577255,0.2815949618816376
Cluster 17,-0.07848101109266281,0.2924128770828247
Cluster 40,-0.07848101109266281,0.2924128770828247
Cluster 19,-0.2142857164144516,0.09549383819103241
Cluster 11,-0.0833333358168602,0.25604066252708435
Cluster 18,-0.3333333432674408,0.0008526126621291041
Cluster 12,-0.19254659116268158,0.13500212132930756
Cluster 35,-0.1386861354112625,0.2460143119096756
Cluster 36,-0.1386861354112625,0.2460143119096756
Cluster 43,-0.41228070855140686,-0.04152369126677513
Cluster 38,-0.1386861354112625,0.2460143119096756
Cluster 39,-0.41228070855140686,-0.04152369126677513
Cluster 20,-0.2142857164144516,0.09549383819103241
Cluster 13,-0.0833333358168602,0.25604066252708435
Cluster 21,-0.2142857164144516,0.09549383819103241
Cluster 14,-0.21705426275730133,0.09206691384315491
Cluster 15,-0.19254659116268158,0.13500212132930756
Cluster 24,-0.16521738469600677,0.19285906851291656
Cluster 22,-0.2142857164144516,0.09549354761838913
Cluster 2,-0.3333333432674408,0.0008526126621291041
Cluster 4,-0.3379310369491577,0.0019154404290020466
Cluster 29,-0.171171173453331,0.19447290897369385
Cluster 23,-0.3663366436958313,-0.054271478205919266
Cluster 7,-0.5161290168762207,-0.2507365047931671
Cluster 31,-0.171171173453331,0.19447290897369385
Cluster 30,-0.171171173453331,0.19447290897369385
Cluster 5,-0.47787609696388245,-0.1794402301311493
Cluster 25,-0.3663366436958313,-0.054271478205919266
Cluster 8,-0.5161290168762207,-0.2507365047931671
Cluster 32,-0.15850144624710083,0.21748025715351105
Cluster 33,-0.15850144624710083,0.21748025715351105
Cluster 3,-0.5161290168762207,-0.2507365047931671
Cluster 1,-0.47787609696388245,-0.1794402301311493
Cluster 42,-0.3379310369491577,0.0019154404290020466
Cluster 6,-0.5161290168762207,-0.2507365047931671
Cluster 46,-0.2857142984867096,0.01100402232259512
